split,Method,restart_probability_c,temperature,runtime_seconds,MAE,RMSE,Rating_Rows,Missing_Predictions,Fallback_Predictions,Cold_User_Rows,Cold_Item_Rows,Ranking_Eligible_Users,Precision@5,Recall@5,NDCG@5,HitRate@5,Precision@10,Recall@10,NDCG@10,HitRate@10,degenerate_minmax_users_all,degenerate_minmax_users_evaluated,rating_rows_using_degenerate_3,shared_evaluator_fallback_rows,mean_iterations,max_iterations,unconverged_users
validation,RWR_Softmax,0.4,1.5,2.100224554538727,2.0717602042006735,2.455414253044918,600.0,0.0,0.0,0.0,0.0,170.0,0.20705882352941174,0.8568627450980392,0.6334929791964097,0.8941176470588236,0.1123529411764706,0.9245098039215686,0.6566745922691071,0.9470588235294117,0,0,0,0,33.0,33,0
validation,RWR_Softmax,0.5,1.5,1.8638721629977226,2.0813498179962138,2.4645878560126473,600.0,0.0,0.0,0.0,0.0,170.0,0.20705882352941174,0.8568627450980392,0.6351030122226985,0.8941176470588236,0.1123529411764706,0.9245098039215686,0.6587129374082872,0.9470588235294117,0,0,0,0,24.33478260869565,25,0
validation,RWR_Softmax,0.6,1.5,1.8012189455330372,2.0900736345036663,2.4730694502275896,600.0,0.0,0.0,0.0,0.0,170.0,0.20352941176470585,0.8392156862745097,0.627913807908884,0.8764705882352941,0.11294117647058823,0.9274509803921568,0.6590550371921049,0.9470588235294117,0,0,0,0,19.0,19,0
validation,RWR_Softmax,0.7,1.5,1.7497533895075321,2.098327319450813,2.4809653520280146,600.0,0.0,0.0,0.0,0.0,170.0,0.20352941176470585,0.8392156862745097,0.6334232962121381,0.8764705882352941,0.11294117647058823,0.9274509803921568,0.6644434748278943,0.9470588235294117,0,0,0,0,14.0,14,0
validation,RWR_Softmax,0.1,2.0,3.128651961684227,2.026180028793359,2.4175174129711436,600.0,0.0,0.0,0.0,0.0,170.0,0.1811764705882353,0.7558823529411764,0.5780616512373671,0.8117647058823529,0.10764705882352942,0.888235294117647,0.624511888439279,0.9176470588235294,0,0,0,0,157.0,157,0
validation,RWR_Softmax,0.2,2.0,2.347194330766797,2.051545865538998,2.4400213089802887,600.0,0.0,0.0,0.0,0.0,170.0,0.19647058823529412,0.8098039215686273,0.6070035014826076,0.8529411764705882,0.11,0.9088235294117647,0.641257205833354,0.9352941176470588,0,0,0,0,74.0,74,0
validation,RWR_Softmax,0.3,2.0,2.0428799241781235,2.0680314672276014,2.4547536457449937,600.0,0.0,0.0,0.0,0.0,170.0,0.20470588235294115,0.8480392156862745,0.6362850154833161,0.888235294117647,0.11058823529411765,0.9107843137254901,0.6581592539633927,0.9352941176470588,0,0,0,0,47.0,47,0
validation,RWR_Softmax,0.35,2.0,2.0060295201838017,2.0746342006003395,2.460766810650721,600.0,0.0,0.0,0.0,0.0,170.0,0.20588235294117646,0.8539215686274509,0.6317440874233088,0.8941176470588236,0.11058823529411765,0.9107843137254901,0.6521948353793722,0.9352941176470588,0,0,0,0,39.0,39,0
validation,RWR_Softmax,0.4,2.0,1.9460847806185484,2.080316450049159,2.4660289749005626,600.0,0.0,0.0,0.0,0.0,170.0,0.2070588235294118,0.8568627450980392,0.6315342128237245,0.8941176470588236,0.11117647058823528,0.9137254901960783,0.6517427951913517,0.9352941176470588,0,0,0,0,33.0,33,0
validation,RWR_Softmax,0.5,2.0,1.829801158979535,2.0900852662212976,2.4753440872541987,600.0,0.0,0.0,0.0,0.0,170.0,0.2082352941176471,0.8627450980392156,0.632191001615727,0.9,0.11176470588235295,0.9166666666666665,0.6516307417983171,0.9352941176470588,0,0,0,0,24.067391304347826,25,0
