analysis,feature,mf_winner_n,mf_winner_mean,mf_winner_median,mf_winner_std,lightgcn_winner_n,lightgcn_winner_mean,lightgcn_winner_median,lightgcn_winner_std,cohens_d_lightgcn_minus_mf,mann_whitney_u,mann_whitney_p,spearman_rho_with_difference,spearman_p,mann_whitney_p_bh,spearman_p_bh
ranking_ndcg5,mean_rating_gap_across_pairs,27,1.421646473447126,1.4451612903225806,0.36080095899218045,94,0.8144507006196222,1.0,0.8058026478020716,-0.8294496098225478,1764.0,0.0015728119521625638,-0.28285627811791386,0.001668955541984038,0.0025905138035618694,0.0022252740559787175
ranking_ndcg5,max_rating_gap,27,3.1481481481481484,3.0,0.9885383033590439,94,1.6063829787234043,1.0,1.6734362632078308,-0.9947810220278442,1895.0,4.884360090139657e-05,-0.3416781625871844,0.00012528771342118378,0.00010702435192525269,0.0002698504596763958
ranking_ndcg5,fraction_gap_1_pairs,27,0.6114946680093745,0.6,0.17500457480492462,94,0.3292322577254342,0.36577708006279436,0.3404729744087141,-0.9049572673666347,1867.5,0.0001283673171942665,-0.32926263254707616,0.00022631456558403363,0.000256734634388533,0.0003821831956059565
ranking_ndcg5,fraction_gap_2plus_pairs,27,0.35146829495358844,0.36129032258064514,0.1436161093135202,94,0.20268263589158708,0.0,0.23674650354433255,-0.6769326163063376,1767.5,0.0013011079097944396,-0.2782291465013154,0.0020015335329228905,0.002276938842140269,0.0025474063146291334
ranking_ndcg5,mean_degree_of_interacted_items,27,79.19270219857816,74.0,18.983752593101304,94,119.38801306928458,121.72222222222223,28.58621556258381,1.5007351514693386,312.5,2.5171454210995695e-09,0.46699096190156697,6.684064831330747e-08,1.1081149584876081e-08,2.7146491656133664e-07
ranking_ndcg5,median_degree_of_interacted_items,27,73.96296296296296,74.0,23.310168599003315,94,118.91489361702128,129.5,31.205151757764618,1.5155660474478119,295.0,1.2397956710000816e-09,0.47951996509290856,2.626538052583761e-08,6.942855757600457e-09,1.8385766368086327e-07
ranking_ndcg5,min_degree_of_interacted_items,27,20.11111111111111,7.0,29.389078732038346,94,86.47872340425532,79.5,58.134388010200304,1.2475826991749803,394.5,4.937024290621575e-08,0.43839167183827443,4.924966940254788e-07,1.7279585017175514e-07,1.7237384290891757e-06
ranking_ndcg5,max_degree_of_interacted_items,27,148.22222222222223,160.0,12.564704328864842,94,145.29787234042553,137.0,11.304038470695712,-0.25229074094612713,1427.0,0.30717154621901843,-0.11206746584814042,0.22102560641044783,0.3308001266974045,0.24754867917970155
ranking_ndcg5,fraction_of_interactions_with_head_items,27,0.5890248268828832,0.5217391304347826,0.20077077064238769,94,0.8915058087541354,1.0,0.14967522106340153,1.864647477151161,352.5,2.7702873962190202e-09,0.46678250088157225,6.786622914033416e-08,1.1081149584876081e-08,2.7146491656133664e-07
ranking_ndcg5,fraction_of_interactions_with_tail_items,27,0.004409171075837742,0.0,0.012744276404228478,94,0.002290189125295508,0.0,0.013715626947309668,-0.15685283744450956,1366.0,0.11025630801904716,-0.15448640765762875,0.0906680860367238,0.14032621020606004,0.1103785395229681
