Student_ID,Course_ID,Actual,Predicted,Error
40411255,40BA222,4,2.903,1.097
40411212,40BD012,3,2.903,0.097
40211202,40B9651,4,3.7498,0.2502
40311243,40BD012,4,4.1395,0.1395
40211112,40KT142,5,4.4971,0.5029
40311204,40BA132,4,2.903,1.097
40211224,40BD012,3,2.903,0.097
40211113,40BA091,1,1.3692,0.3692
40411156,40BA021,4,2.903,1.097
40311153,40BA021,5,3.7037,1.2963
40211266,40BR022,2,2.903,0.903
40411219,40BA082,5,2.903,2.097
40311223,40BA122,3,2.6849,0.3151
40211116,40BQ051,4,4.1993,0.1993
40211246,40BR122,5,4.4031,0.5969
40311158,40BQ341,3,4.5999,1.5999
40411201,40BA062,3,2.903,0.097
40211126,40IN672,5,5.0,0.0
40211249,40B0292,4,3.8925,0.1075
40311108,40BC011,2,2.0977,0.0977
40411156,40BA011,5,2.903,2.097
40411244,40BR472,1,2.903,1.903
40211103,40UN050,1,2.903,1.903
40411242,40BA102,4,2.903,1.097
40411202,40BA052,4,2.903,1.097
40211261,40BA152,3,3.2078,0.2078
40511142,40BA051,3,2.903,0.097
40411246,40BA082,3,2.903,0.097
40211104,40UN110,4,4.0,0.0
40311236,40BR042,4,4.3981,0.3981
40211223,40BA132,3,2.8824,0.1176
40211115,40BA011,3,2.903,0.097
40211144,40BQ421,1,2.903,1.903
40211203,40BA102,4,3.1935,0.8065
40211257,409U163,1,1.1889,0.1889
40311113,40BA051,1,2.903,1.903
40411236,40BA012,3,2.903,0.097
40411233,40BA102,4,2.903,1.097
40311161,40BA221,1,2.903,1.903
40211153,40BR372,4,4.1637,0.1637
40411108,40BA011,4,2.903,1.097
40211115,40BC061,1,2.903,1.903
40311130,40BQ031,2,2.279,0.279
40211102,40B0291,2,2.8267,0.8267
40211205,40BR032,5,4.3057,0.6943
40211132,40BA081,2,2.3075,0.3075
40311257,40BA102,3,3.6001,0.6001
40211110,40BQ321,2,3.4278,1.4278
40411255,40BA102,4,2.903,1.097
40411138,40BA051,2,2.903,0.903
40311105,409A011,2,2.3514,0.3514
40311265,4064243,2,2.903,0.903
40311255,40B0292,2,2.903,0.903
40211104,40BA131,4,4.2927,0.2927
40211233,40BA092,2,3.6312,1.6312
40211133,40BR372,5,4.108,0.892
40311138,40BA011,1,2.608,1.608
40311124,40BA021,1,2.903,1.903
40211238,433A021,2,1.0849,0.9151
40311223,40BA222,1,3.4935,2.4935
40211161,40BA051,2,2.903,0.903
40211137,40BA091,1,1.3694,0.3694
40311128,40BA121,4,2.9846,1.0154
40411238,40BA052,2,2.903,0.903
40211118,40BC061,5,3.9363,1.0637
40311218,40BR042,4,3.4445,0.5555
40211235,40BA152,4,3.3088,0.6912
40211138,40BA051,3,2.6948,0.3052
40311206,40BA062,1,2.903,1.903
40211230,40B0292,5,4.2255,0.7745
40411209,40BA222,3,2.903,0.097
40311118,40BC051,3,2.9775,0.0225
40211224,40BR072,3,2.903,0.097
40311243,40BA122,4,3.5327,0.4673
40211113,40B0291,2,2.1755,0.1755
40211235,40BR072,4,4.6072,0.6072
40211161,40BQ331,1,2.903,1.903
40311253,40B0292,3,2.903,0.097
40211225,40BR372,4,3.7104,0.2896
40311227,40BA082,4,2.903,1.097
